Window,Date,Breadth_Pct,Positive_Weight,Total_Weight
1M,1/16/2026,59.04,58.86,99.69
3M,1/16/2026,68.3,68.09,99.69
6M,1/16/2026,73.4,73.17,99.69
12M,1/16/2026,87.02,86.75,99.69
1M,1/26/2026,51.68,51.58,99.81
3M,1/26/2026,58.94,58.83,99.81
6M,1/26/2026,71.98,71.84,99.81
12M,1/26/2026,82.53,82.37,99.81
1M,1/27/2026,50.21,50.13,99.84
3M,1/27/2026,56.24,56.15,99.84
6M,1/27/2026,71.73,71.62,99.84
12M,1/27/2026,81.48,81.35,99.84
1M,1/30/2026,58.38,58.23,99.74
3M,1/30/2026,55.54,55.4,99.74
6M,1/30/2026,75.45,75.25,99.74
12M,1/30/2026,78.05,77.85,99.74
1M,2/10/2026,56.83,56.74,99.85
3M,2/10/2026,70.14,70.03,99.85
6M,2/10/2026,72.69,72.58,99.85
12M,2/10/2026,76.09,75.98,99.85
1M,2/13/2026,43.11,43.05,99.86
3M,2/13/2026,52.09,51.99,99.81
6M,2/13/2026,72.88,72.78,99.86
12M,2/13/2026,72.03,71.93,99.86
1M,2/18/2026,57.73,57.76,100.06
3M,2/18/2026,55.58,55.61,100.06
6M,2/18/2026,71.29,71.33,100.06
12M,2/18/2026,71.59,71.63,100.06
1M,2/20/2026,61.92,61.97,100.08
3M,2/20/2026,65.69,65.74,100.08
6M,2/20/2026,71.04,71.1,100.08
12M,2/20/2026,71.45,71.51,100.08
1M,2/3/2026,51.58,51.54,99.93
3M,2/3/2026,55.19,55.15,99.93
6M,2/3/2026,74.42,74.37,99.93
12M,2/3/2026,76.85,76.8,99.93
1M,2/4/2026,55.88,55.8,99.85
3M,2/4/2026,63.62,63.52,99.85
6M,2/4/2026,69.94,69.84,99.85
12M,2/4/2026,76.0,75.89,99.85
1M,2/6/2026,57.49,57.4,99.85
3M,2/6/2026,62.62,62.53,99.85
6M,2/6/2026,73.45,73.34,99.85
12M,2/6/2026,71.36,71.25,99.85
1M,2026-03-13,25.72,25.72,100.0
3M,2026-03-13,34.53,34.53,100.0
6M,2026-03-13,58.72,58.72,100.0
12M,2026-03-13,80.67,80.67,100.0
1M,2026-03-16,27.44,27.45,100.04
3M,2026-03-16,42.11,42.13,100.04
6M,2026-03-16,57.33,57.35,100.04
12M,2026-03-16,84.72,84.75,100.04
1M,2026-03-17,29.41,29.39,99.94
3M,2026-03-17,44.67,44.64,99.94
6M,2026-03-17,59.55,59.51,99.94
12M,2026-03-17,83.59,83.54,99.94
1M,2026-03-18,27.53,27.48,99.82
3M,2026-03-18,39.27,39.2,99.82
6M,2026-03-18,56.56,56.46,99.82
12M,2026-03-18,81.39,81.24,99.82
1M,2026-03-19,28.25,28.2,99.84
3M,2026-03-19,42.51,42.44,99.84
6M,2026-03-19,55.83,55.74,99.84
12M,2026-03-19,81.25,81.12,99.84
1M,2026-03-20,17.63,17.61,99.87
3M,2026-03-20,44.21,44.15,99.87
6M,2026-03-20,47.53,47.47,99.87
12M,2026-03-20,74.65,74.55,99.87
1M,2026-03-23,19.01,18.99,99.91
3M,2026-03-23,38.98,38.94,99.91
6M,2026-03-23,48.22,48.18,99.91
12M,2026-03-23,76.12,76.05,99.91
1M,2026-03-24,23.12,23.09,99.85
3M,2026-03-24,31.38,31.33,99.85
6M,2026-03-24,43.23,43.17,99.85
12M,2026-03-24,73.24,73.13,99.85
1M,2026-03-25,20.69,20.66,99.84
3M,2026-03-25,32.55,32.5,99.84
6M,2026-03-25,50.75,50.67,99.84
12M,2026-03-25,73.4,73.28,99.84
1M,2026-03-26,11.93,11.91,99.85
3M,2026-03-26,31.68,31.63,99.85
6M,2026-03-26,49.34,49.27,99.85
12M,2026-03-26,73.23,73.12,99.85
1M,2026-03-27,9.94,9.93,99.86
3M,2026-03-27,30.41,30.37,99.86
6M,2026-03-27,42.78,42.72,99.86
12M,2026-03-27,67.84,67.75,99.86
1M,2026-03-30,8.51,8.5,99.88
3M,2026-03-30,29.82,29.78,99.88
6M,2026-03-30,41.58,41.53,99.88
12M,2026-03-30,68.05,67.97,99.88
1M,2026-03-31,10.89,10.87,99.86
3M,2026-03-31,33.32,33.27,99.86
6M,2026-03-31,42.64,42.58,99.86
12M,2026-03-31,75.38,75.27,99.86
1M,2026-04-02,12.26,12.24,99.83
3M,2026-04-02,32.54,32.49,99.83
6M,2026-04-02,52.29,52.19,99.83
12M,2026-04-02,76.82,76.68,99.83
1M,2026-04-06,22.06,22.03,99.83
3M,2026-04-06,32.39,32.33,99.83
6M,2026-04-06,53.16,53.07,99.83
12M,2026-04-06,76.68,76.55,99.83
1M,2026-04-07,48.14,47.83,99.35
3M,2026-04-07,31.23,31.02,99.35
6M,2026-04-07,46.65,46.34,99.35
12M,2026-04-07,84.92,84.37,99.35
1M,2026-04-08,49.87,49.52,99.29
3M,2026-04-08,47.05,46.71,99.29
6M,2026-04-08,62.45,62.0,99.29
12M,2026-04-08,88.99,88.35,99.29
1M,2026-04-09,52.67,52.58,99.83
3M,2026-04-09,43.59,43.52,99.83
6M,2026-04-09,63.87,63.77,99.83
12M,2026-04-09,89.45,89.3,99.83
1M,3/12/2026,26.62,26.62,100.01
3M,3/12/2026,37.93,37.93,100.01
6M,3/12/2026,61.18,61.19,100.01
12M,3/12/2026,82.99,83.0,100.01
1M,3/13/2026,25.75,25.72,99.88
3M,3/13/2026,34.45,34.41,99.88
6M,3/13/2026,58.67,58.6,99.88
12M,3/13/2026,80.65,80.55,99.88
1M,3/2/2026,45.02,45.04,100.05
3M,3/2/2026,52.12,52.15,100.05
6M,3/2/2026,65.68,65.71,100.05
12M,3/2/2026,75.64,75.68,100.05
1M,2026-04-10,58.12,58.03,99.84
3M,2026-04-10,48.6,48.52,99.84
6M,2026-04-10,62.8,62.69,99.84
12M,2026-04-10,89.85,89.7,99.84
1M,2026-04-13,67.63,67.51,99.83
3M,2026-04-13,48.45,48.37,99.83
6M,2026-04-13,64.27,64.16,99.83
12M,2026-04-13,82.25,82.11,99.83
1M,2026-04-14,69.3,69.19,99.84
3M,2026-04-14,54.41,54.32,99.84
6M,2026-04-14,72.37,72.25,99.84
12M,2026-04-14,89.17,89.02,99.84
1M,2026-04-15,72.43,72.31,99.84
3M,2026-04-15,60.73,60.63,99.84
6M,2026-04-15,71.2,71.08,99.84
12M,2026-04-15,88.15,88.01,99.84
1M,2026-04-16,70.2,70.08,99.83
3M,2026-04-16,61.72,61.61,99.83
6M,2026-04-16,68.86,68.74,99.83
12M,2026-04-16,87.48,87.33,99.83
1M,2026-04-17,84.06,83.92,99.84
3M,2026-04-17,68.5,68.38,99.84
6M,2026-04-17,71.37,71.25,99.84
12M,2026-04-17,88.56,88.42,99.84
1M,2026-04-20,83.0,82.86,99.84
3M,2026-04-20,68.82,68.71,99.84
6M,2026-04-20,71.91,71.79,99.84
12M,2026-04-20,89.14,88.99,99.84
1M,2026-04-21,81.99,81.86,99.83
3M,2026-04-21,69.49,69.37,99.83
6M,2026-04-21,68.83,68.72,99.83
12M,2026-04-21,86.89,86.75,99.83
1M,2026-04-22,81.47,81.34,99.84
3M,2026-04-22,67.83,67.72,99.84
6M,2026-04-22,68.72,68.61,99.84
12M,2026-04-22,89.55,89.41,99.84
1M,2026-04-23,81.14,81.01,99.84
3M,2026-04-23,68.28,68.17,99.84
6M,2026-04-23,69.29,69.18,99.84
12M,2026-04-23,86.83,86.69,99.84
1M,2026-04-24,78.19,78.06,99.84
3M,2026-04-24,68.16,68.05,99.84
6M,2026-04-24,69.02,68.91,99.84
12M,2026-04-24,86.09,85.95,99.84
1M,2026-04-27,79.86,79.73,99.84
3M,2026-04-27,67.9,67.79,99.84
6M,2026-04-27,69.32,69.21,99.84
12M,2026-04-27,85.51,85.37,99.84
